name,x,y,z,r,i,j,k
warehouse_1,7.312,14.925,0.000,0.000,0.000,0.709,0.705
warehouse_2,9.136,14.963,0.000,0.000,0.000,0.735,0.678
warehouse_south,9.750,13.187,0.000,0.000,0.000,-0.713,0.701
warehouse_charge_point,5.701,17.490,0.000,0.000,0.000,0.685,0.728
northeast_in,12.660,21.399,0.000,0.000,0.000,-0.721,0.693
northeast_out,12.237,14.727,0.000,0.000,0.000,0.706,0.708
northeast_chargen,13.744,15.732,0.000,0.000,0.000,0.709,0.705
northwest_in,20.629,14.168,0.000,0.000,0.000,0.699,0.715
northwest_out,20.951,20.888,0.000,0.000,0.000,-0.699,0.715
northwest_charge_point,19.109,15.235,0.000,0.000,0.000,0.710,0.705
south_in,13.986,4.832,0.000,0.000,0.000,0.704,0.710
south_out,14.547,11.371,0.000,0.000,0.000,-0.701,0.713
